ENERDATA,SBS,EF,IEA,flow,Navigate
NA,PP,HYD,NA,,Final Energy|Industry|Pulp and Paper|Hydrogen
NA,PP,WND,NA,,
NA,PP,SOL,NA,,
Biomass final consumption of paper and pulp.Mtoe,PP,BMSWAS,NA,PAPERPRO,Final Energy|Industry|Pulp and Paper|Solids|Biomass
NA,PP,GEO,NA,,
NA,PP,MET,NA,,
NA,PP,ETH,NA,,
NA,PP,BGDO,BIODIESEL,PAPERPRO,
NA,PP,H2F,NA,,
Electricity final consumption of paper and pulp.Mtoe,PP,ELC,ELECTR,PAPERPRO,Final Energy|Industry|Pulp and Paper|Electricity
NA,PP,PHEVGSL,NA,,
NA,PP,PHEVGDO,NA,,
NA,PP,CHEVGSL,NA,,
NA,PP,CHEVGDO,NA,,
NA,PP,SLD,NA,,Final Energy|Industry|Pulp and Paper|Solids
NA,PP,GAS,NA,,Final Energy|Industry|Pulp and Paper|Gases
NA,PP,LQD,NA,,
NA,PP,OLQT,NA,,
NA,PP,NFF,NA,,
NA,PP,NEF,NA,,
NA,PP,HEATPUMP,NA,,
NA,FD,REN,NA,,
Coal and lignite final consumption of food and tobacco.Mtoe,FD,HCL,BITCOAL,FOODPRO,
NA,FD,LGN,LIGNITE,FOODPRO,
NA,FD,CRO,NA,,
NA,FD,LPG,LPG,FOODPRO,
NA,FD,GSL,NONBIOGASO,FOODPRO,
NA,FD,KRS,NA,,
"Diesel, heating oil final consumption of food and tobacco.Mtoe",FD,GDO,NONBIODIES,FOODPRO,
NA,FD,RFO,NA,,
NA,FD,OLQ,NA,,
Natural gas final consumption of food and tobacco.Mtoe,FD,NGS,NATGAS,FOODPRO,
NA,FD,OGS,NA,,
NA,FD,NUC,NA,,
NA,FD,STE,NA,,
NA,FD,HYD,NA,,
NA,FD,WND,NA,,
NA,FD,SOL,SOLARTH,FOODPRO,
Biomass final consumption of food and tobacco.Mtoe,FD,BMSWAS,NA,FOODPRO,
NA,FD,GEO,NA,,
NA,FD,MET,NA,,
NA,FD,ETH,NA,,
NA,FD,BGDO,BIODIESEL,FOODPRO,
NA,FD,H2F,NA,,
Electricity final consumption of food and tobacco.Mtoe,FD,ELC,ELECTR,FOODPRO,
NA,FD,PHEVGSL,NA,,
NA,FD,PHEVGDO,NA,,
NA,FD,CHEVGSL,NA,,
NA,FD,CHEVGDO,NA,,
NA,FD,SLD,NA,,
NA,FD,GAS,NA,,
NA,FD,LQD,NA,,
NA,FD,OLQT,NA,,
NA,FD,NFF,NA,,
NA,FD,NEF,NA,,
NA,FD,HEATPUMP,NA,,
NA,EN,REN,NA,,
Coal and lignite final consumption of construction.Mtoe,EN,HCL,BITCOAL,CONSTRUC,
NA,EN,LGN,LIGNITE,CONSTRUC,
Oil final consumption of construction.Mtoe,EN,CRO,NA,CONSTRUC,
NA,EN,LPG,LPG,CONSTRUC,
NA,EN,GSL,NONBIOGASO,CONSTRUC,
NA,EN,KRS,NA,,
