ENERDATA,SBS,EF,IEA,flow
NA,BM,NFF,NA,NONMET
NA,BM,NEF,NA,NONMET
NA,BM,HEATPUMP,NA,NONMET
NA,PP,REN,NA,PAPERPRO
Coal and lignite final consumption of paper and pulp.Mtoe,PP,HCL,COAL,PAPERPRO
NA,PP,LGN,LIGNITE,PAPERPRO
Oil final consumption of paper and pulp.Mtoe,PP,CRO,CRUDE_OIL,PAPERPRO
NA,PP,LPG,LPG,PAPERPRO
NA,PP,GSL,MOTOR_GASOLINE_NONBIO,PAPERPRO
NA,PP,KRS,KEROSENE_JET_NONBIO,PAPERPRO
"Diesel, heating oil final consumption of paper and pulp.Mtoe",PP,GDO,GAS_DIESEL_OIL_NONBIO,PAPERPRO
Heavy fuel oil final consumption of paper and pulp.Mtoe,PP,RFO,FUEL_OIL_RESIDUAL,PAPERPRO
NA,PP,OLQ,LIQBIOFUEL_OTH,PAPERPRO
Natural gas final consumption of paper and pulp.Mtoe,PP,NGS,NATURAL_GAS,PAPERPRO
NA,PP,OGS,TCOKEOVS,PAPERPRO
NA,PP,NUC,NUCLEAR,PAPERPRO
NA,PP,STE,NA,PAPERPRO
NA,PP,HYD,HYDRO,PAPERPRO
NA,PP,WND,WIND,PAPERPRO
NA,PP,SOL,SOLAR_PV,PAPERPRO
Biomass final consumption of paper and pulp.Mtoe,PP,BMSWAS,PRIMARY_SOLID_BIOFUEL,PAPERPRO
NA,PP,GEO,GEOTHERMAL,PAPERPRO
NA,PP,MET,NA,PAPERPRO
NA,PP,ETH,ETHANE,PAPERPRO
NA,PP,BGDO,BIODIESEL,PAPERPRO
NA,PP,H2F,NA,PAPERPRO
Electricity final consumption of paper and pulp.Mtoe,PP,ELC,ELECTRICITY,PAPERPRO
NA,PP,STE1AL,NA,PAPERPRO
Heat final consumption of paper and pulp.Mtoe,PP,STE1AH,MAINHEAT,PAPERPRO
NA,PP,STE1AD,NA,PAPERPRO
NA,PP,STE1AR,NA,PAPERPRO
NA,PP,STE1AG,NA,PAPERPRO
NA,PP,STE1AB,NA,PAPERPRO
NA,PP,STE1AH2F,NA,PAPERPRO
NA,PP,STE2LGN,NA,PAPERPRO
NA,PP,STE2OSL,NA,PAPERPRO
NA,PP,STE2GDO,NA,PAPERPRO
NA,PP,STE2RFO,NA,PAPERPRO
NA,PP,STE2OLQ,NA,PAPERPRO
NA,PP,STE2NGS,NA,PAPERPRO
NA,PP,STE2OGS,NA,PAPERPRO
NA,PP,STE2BMS,NA,PAPERPRO
NA,PP,PHEVGSL,NA,PAPERPRO
NA,PP,PHEVGDO,NA,PAPERPRO
NA,PP,CHEVGSL,NA,PAPERPRO
NA,PP,CHEVGDO,NA,PAPERPRO
NA,PP,SLD,NA,PAPERPRO
NA,PP,GAS,NA,PAPERPRO
NA,PP,LQD,NA,PAPERPRO
NA,PP,OLQT,NA,PAPERPRO
NA,PP,NFF,NA,PAPERPRO
NA,PP,NEF,NA,PAPERPRO
NA,PP,HEATPUMP,NA,PAPERPRO
NA,FD,REN,NA,FOODPRO
Coal and lignite final consumption of food and tobacco.Mtoe,FD,HCL,COAL,FOODPRO
NA,FD,LGN,LIGNITE,FOODPRO
Oil final consumption of food and tobacco.Mtoe,FD,CRO,CRUDE_OIL,FOODPRO
NA,FD,LPG,LPG,FOODPRO
NA,FD,GSL,MOTOR_GASOLINE_NONBIO,FOODPRO
NA,FD,KRS,KEROSENE_JET_NONBIO,FOODPRO
"Diesel, heating oil final consumption of food and tobacco.Mtoe",FD,GDO,GAS_DIESEL_OIL_NONBIO,FOODPRO
Heavy fuel oil final consumption of food and tobacco.Mtoe,FD,RFO,FUEL_OIL_RESIDUAL,FOODPRO
NA,FD,OLQ,LIQBIOFUEL_OTH,FOODPRO
Natural gas final consumption of food and tobacco.Mtoe,FD,NGS,NATURAL_GAS,FOODPRO
NA,FD,OGS,TCOKEOVS,FOODPRO
NA,FD,NUC,NUCLEAR,FOODPRO
NA,FD,STE,NA,FOODPRO
