ENERDATA,SBS,EF,IEA,flow
NA,HOU,STE2LGN,NA,
NA,HOU,STE2OSL,NA,
NA,HOU,STE2GDO,NA,
NA,HOU,STE2RFO,NA,
NA,HOU,STE2OLQ,NA,
NA,HOU,STE2NGS,NA,
NA,HOU,STE2OGS,NA,
NA,HOU,STE2BMS,NA,
NA,HOU,PHEVGSL,NA,
NA,HOU,PHEVGDO,NA,
NA,HOU,CHEVGSL,NA,
NA,HOU,CHEVGDO,NA,
NA,HOU,SLD,NA,
NA,HOU,GAS,NA,
NA,HOU,LQD,NA,
NA,HOU,OLQT,NA,
NA,HOU,NFF,NA,
NA,HOU,NEF,NA,
NA,HOU,HEATPUMP,NA,
NA,PC,REN,NA,
NA,PC,HCL,NA,TOTTRANS
NA,PC,LGN,NA,
NA,PC,CRO,NA,
Natural gas final consumption of transport.Mtoe,GU,NGS,NATGAS,TOTTRANS
Biodiesel final consumption of road transport.Mtoe,GU,BGDO,BIODIESEL,TOTTRANS
NA,PC,KRS,NA,
NA,PC,GDO,NA,
NA,PC,RFO,NA,
NA,PC,OLQ,NA,
Electricity final consumption of road transport.Mtoe,GU,ELC,NA,NA
NA,PC,OGS,NA,
NA,PC,NUC,NA,
NA,PC,STE,NA,
NA,PC,HYD,NA,
NA,PC,WND,NA,
NA,PC,SOL,NA,
NA,PC,BMSWAS,NA,
NA,PC,GEO,NA,
NA,PC,MET,NA,
Coal and lignite final consumption of residential sector.Mtoe,HOU,HCL,BITCOAL,RESIDENT
LPG (liquified petroleum gas) final consumption of residential sector.Mtoe,HOU,LPG,LPG,RESIDENT
NA,PC,H2F,NA,
Oil final consumption of residential sector.Mtoe,HOU,GDO,NONBIODIES,RESIDENT
NA,PC,STE1AL,NA,
NA,PC,STE1AH,NA,
NA,PC,STE1AD,NA,
NA,PC,STE1AR,NA,
NA,PC,STE1AG,NA,
NA,PC,STE1AB,NA,
