ENERDATA,SBS,EF
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,FD,STE2OGS
NA,FD,STE2BMS
NA,FD,PHEVGSL
NA,FD,PHEVGDO
NA,FD,CHEVGSL
NA,FD,CHEVGDO
NA,FD,SLD
NA,FD,GAS
NA,FD,LQD
NA,FD,OLQT
NA,FD,NFF
NA,FD,NEF
NA,FD,HEATPUMP
NA,EN,REN
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,EN,HCL
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,EN,LGN
NA,EN,CRO
Constant price in toe in US$15 of diesel (taxes incl).$15/toe,EN,LPG
Constant price per toe in US$15 of premium gasoline (taxes incl).$15/toe,EN,GSL
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,EN,KRS
Constant price in toe in US$15 of diesel (taxes incl).$15/toe,EN,GDO
Constant price per toe in US$15 of heavy fuel oil (taxes incl).$15/toe,EN,RFO
NA,EN,OLQ
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,EN,NGS
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,EN,OGS
NA,EN,NUC
NA,EN,STE
NA,EN,HYD
NA,EN,WND
NA,EN,SOL
NA,EN,BMSWAS
NA,EN,GEO
NA,EN,MET
NA,EN,ETH
NA,EN,BGDO
NA,EN,H2F
Constant price per toe in US$ of electricity in industry (taxes incl).$15/toe,EN,ELC
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,EN,STE1AL
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,EN,STE1AH
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,EN,STE1AD
Constant price per toe in US$15 of heavy fuel oil (taxes incl).$15/toe,EN,STE1AR
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,EN,STE1AG
NA,EN,STE1AB
NA,EN,STE1AH2F
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,EN,STE2LGN
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,EN,STE2OSL
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,EN,STE2GDO
Constant price per toe in US$15 of heavy fuel oil (taxes incl).$15/toe,EN,STE2RFO
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,EN,STE2OLQ
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,EN,STE2NGS
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,EN,STE2OGS
NA,EN,STE2BMS
NA,EN,PHEVGSL
NA,EN,PHEVGDO
NA,EN,CHEVGSL
NA,EN,CHEVGDO
NA,EN,SLD
NA,EN,GAS
NA,EN,LQD
NA,EN,OLQT
NA,EN,NFF
NA,EN,NEF
NA,EN,HEATPUMP
NA,TX,REN
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,TX,HCL
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,TX,LGN
NA,TX,CRO
Constant price in toe in US$15 of diesel (taxes incl).$15/toe,TX,LPG
Constant price per toe in US$15 of premium gasoline (taxes incl).$15/toe,TX,GSL
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,TX,KRS
Constant price in toe in US$15 of diesel (taxes incl).$15/toe,TX,GDO
Constant price per toe in US$15 of heavy fuel oil (taxes incl).$15/toe,TX,RFO
NA,TX,OLQ
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,TX,NGS
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,TX,OGS
NA,TX,NUC
NA,TX,STE
NA,TX,HYD
NA,TX,WND
NA,TX,SOL
NA,TX,BMSWAS
NA,TX,GEO
NA,TX,MET
NA,TX,ETH
NA,TX,BGDO
NA,TX,H2F
Constant price per toe in US$ of electricity in industry (taxes incl).$15/toe,TX,ELC
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,TX,STE1AL
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,TX,STE1AH
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,TX,STE1AD
Constant price per toe in US$15 of heavy fuel oil (taxes incl).$15/toe,TX,STE1AR
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,TX,STE1AG
NA,TX,STE1AB
NA,TX,STE1AH2F
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,TX,STE2LGN
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,TX,STE2OSL
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,TX,STE2GDO
Constant price per toe in US$15 of heavy fuel oil (taxes incl).$15/toe,TX,STE2RFO
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,TX,STE2OLQ
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,TX,STE2NGS
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,TX,STE2OGS
NA,TX,STE2BMS
NA,TX,PHEVGSL
NA,TX,PHEVGDO
NA,TX,CHEVGSL
NA,TX,CHEVGDO
NA,TX,SLD
NA,TX,GAS
NA,TX,LQD
NA,TX,OLQT
NA,TX,NFF
NA,TX,NEF
NA,TX,HEATPUMP
NA,OE,REN
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,OE,HCL
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,OE,LGN
NA,OE,CRO
Constant price in toe in US$15 of diesel (taxes incl).$15/toe,OE,LPG
Constant price per toe in US$15 of premium gasoline (taxes incl).$15/toe,OE,GSL
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,OE,KRS
Constant price in toe in US$15 of diesel (taxes incl).$15/toe,OE,GDO
Constant price per toe in US$15 of heavy fuel oil (taxes incl).$15/toe,OE,RFO
NA,OE,OLQ
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,OE,NGS
