ENERDATA,SBS,EF,IEA,flow,Navigate,TREMOVE,FUEL
NA,GT,CHEVGSL,NA,,,Freight trains,
NA,GT,CHEVGDO,NA,,,Freight trains,
NA,GT,SLD,NA,,,Freight trains,
NA,GT,GAS,NA,,Final Energy|Transportation|Rail|Gases,Freight trains,
NA,GT,LQD,NA,,Final Energy|Transportation|Rail|Liquids,Freight trains,
NA,GT,OLQT,NA,,,Freight trains,
NA,GT,NFF,NA,,,Freight trains,
NA,GT,NEF,NA,,,Freight trains,
NA,GT,HEATPUMP,NA,,,Freight trains,
Coal and lignite final consumption of internal navigation.Mtoe,GN,HCL,BITCOAL,TOTTRANS,,Freight inland navigation,
Diesel final consumption of navigation.Mtoe,GN,GDO,NA,NA,,Freight inland navigation,Diesel
NA,GN,REN,NA,,,Freight inland navigation,
NA,GN,LGN,NA,,,Freight inland navigation,
NA,GN,CRO,NA,,Final Energy|Transportation|Freight|Liquids|Fossil,Freight inland navigation,Total Oil products
NA,GN,LPG,NA,,,Freight inland navigation,Liquefied Petroleum Gas
NA,GN,GSL,NA,,,Freight inland navigation,Gasoline blend
NA,GN,KRS,NA,,,Freight inland navigation,Jet Fuel
NA,GN,RFO,NA,,,Freight inland navigation,Residual fuel oil blend
NA,GN,OLQ,NA,,,Freight inland navigation,
NA,GN,NGS,NA,,,Freight inland navigation,Total Natural Gas
NA,GN,OGS,NA,,,Freight inland navigation,
NA,GN,NUC,NA,,,Freight inland navigation,
NA,GN,STE,NA,,,Freight inland navigation,
NA,GN,HYD,NA,,Final Energy|Transportation|Freight|Hydrogen,Freight inland navigation,
NA,GN,WND,NA,,,Freight inland navigation,
NA,GN,SOL,NA,,,Freight inland navigation,
NA,GN,BMSWAS,NA,,,Freight inland navigation,Total Biomass
NA,GN,GEO,NA,,,Freight inland navigation,
NA,GN,MET,NA,,,Freight inland navigation,Methane from Biogas
NA,GN,ETH,NA,,,Freight inland navigation,Ethanol
NA,GN,BGDO,NA,,Final Energy|Transportation|Freight|Liquids|Biomass,Freight inland navigation,Bio Diesel
NA,GN,H2F,NA,,,Freight inland navigation,Total Hydrogen
NA,GN,ELC,NA,,Final Energy|Transportation|Freight|Electricity,Freight inland navigation,Electricity
NA,GN,STE1AL,NA,,,Freight inland navigation,
NA,GN,STE1AH,NA,,,Freight inland navigation,
NA,GN,STE1AD,NA,,,Freight inland navigation,
NA,GN,STE1AR,NA,,,Freight inland navigation,
NA,GN,STE1AG,NA,,,Freight inland navigation,
NA,GN,STE1AB,NA,,,Freight inland navigation,
NA,GN,STE1AH2F,NA,,,Freight inland navigation,
NA,GN,STE2LGN,NA,,,Freight inland navigation,
NA,GN,STE2OSL,NA,,,Freight inland navigation,
NA,GN,STE2GDO,NA,,,Freight inland navigation,
NA,GN,STE2RFO,NA,,,Freight inland navigation,
NA,GN,STE2OLQ,NA,,,Freight inland navigation,
NA,GN,STE2NGS,NA,,,Freight inland navigation,
NA,GN,STE2OGS,NA,,,Freight inland navigation,
NA,GN,STE2BMS,NA,,,Freight inland navigation,
NA,GN,PHEVGSL,NA,,,Freight inland navigation,
NA,GN,PHEVGDO,NA,,,Freight inland navigation,
NA,GN,CHEVGSL,NA,,,Freight inland navigation,
NA,GN,CHEVGDO,NA,,,Freight inland navigation,
NA,GN,SLD,NA,,,Freight inland navigation,
NA,GN,GAS,NA,,Final Energy|Transportation|Freight|Gases,Freight inland navigation,
NA,GN,LQD,NA,,Final Energy|Transportation|Freight|Liquids,Freight inland navigation,
NA,GN,OLQT,NA,,,Freight inland navigation,
NA,GN,NFF,NA,,,Freight inland navigation,
NA,GN,NEF,NA,,,Freight inland navigation,
NA,GN,HEATPUMP,NA,,,Freight inland navigation,
Coal and lignite final consumption of internal navigation.Mtoe,PN,HCL,BITCOAL,TOTTRANS,,Passenger inland navigation,
Diesel final consumption of navigation.Mtoe,PN,GDO,NA,NA,,Passenger inland navigation,Diesel
NA,PN,REN,NA,,,Passenger inland navigation,
NA,PN,LGN,NA,,,Passenger inland navigation,
NA,PN,CRO,NA,,Final Energy|Transportation|Freight|Liquids|Fossil,Passenger inland navigation,Total Oil products
NA,PN,LPG,NA,,,Passenger inland navigation,Liquefied Petroleum Gas
NA,PN,GSL,NA,,,Passenger inland navigation,Gasoline blend
NA,PN,KRS,NA,,,Passenger inland navigation,Jet Fuel
NA,PN,RFO,NA,,,Passenger inland navigation,Residual fuel oil blend
NA,PN,OLQ,NA,,,Passenger inland navigation,
NA,PN,NGS,NA,,,Passenger inland navigation,Total Natural Gas
NA,PN,OGS,NA,,,Passenger inland navigation,
NA,PN,NUC,NA,,,Passenger inland navigation,
NA,PN,STE,NA,,,Passenger inland navigation,
NA,PN,HYD,NA,,Final Energy|Transportation|Freight|Hydrogen,Passenger inland navigation,
NA,PN,WND,NA,,,Passenger inland navigation,
NA,PN,SOL,NA,,,Passenger inland navigation,
NA,PN,BMSWAS,NA,,,Passenger inland navigation,Total Biomass
NA,PN,GEO,NA,,,Passenger inland navigation,
NA,PN,MET,NA,,,Passenger inland navigation,Methane from Biogas
NA,PN,ETH,NA,,,Passenger inland navigation,Ethanol
NA,PN,BGDO,NA,,Final Energy|Transportation|Freight|Liquids|Biomass,Passenger inland navigation,Bio Diesel
NA,PN,H2F,NA,,,Passenger inland navigation,Total Hydrogen
NA,PN,ELC,NA,,Final Energy|Transportation|Freight|Electricity,Passenger inland navigation,Electricity
NA,PN,STE1AL,NA,,,Passenger inland navigation,
NA,PN,STE1AH,NA,,,Passenger inland navigation,
NA,PN,STE1AD,NA,,,Passenger inland navigation,
NA,PN,STE1AR,NA,,,Passenger inland navigation,
NA,PN,STE1AG,NA,,,Passenger inland navigation,
NA,PN,STE1AB,NA,,,Passenger inland navigation,
NA,PN,STE1AH2F,NA,,,Passenger inland navigation,
NA,PN,STE2LGN,NA,,,Passenger inland navigation,
NA,PN,STE2OSL,NA,,,Passenger inland navigation,
NA,PN,STE2GDO,NA,,,Passenger inland navigation,
NA,PN,STE2RFO,NA,,,Passenger inland navigation,
NA,PN,STE2OLQ,NA,,,Passenger inland navigation,
NA,PN,STE2NGS,NA,,,Passenger inland navigation,
NA,PN,STE2OGS,NA,,,Passenger inland navigation,
NA,PN,STE2BMS,NA,,,Passenger inland navigation,
NA,PN,PHEVGSL,NA,,,Passenger inland navigation,
NA,PN,PHEVGDO,NA,,,Passenger inland navigation,
NA,PN,CHEVGSL,NA,,,Passenger inland navigation,
NA,PN,CHEVGDO,NA,,,Passenger inland navigation,
NA,PN,SLD,NA,,,Passenger inland navigation,
NA,PN,GAS,NA,,Final Energy|Transportation|Freight|Gases,Passenger inland navigation,
NA,PN,LQD,NA,,Final Energy|Transportation|Freight|Liquids,Passenger inland navigation,
NA,PN,OLQT,NA,,,Passenger inland navigation,
NA,PN,NFF,NA,,,Passenger inland navigation,
NA,PN,NEF,NA,,,Passenger inland navigation,
NA,PN,HEATPUMP,NA,,,Passenger inland navigation,
NA,PT,REN,NA,,,Passenger trains,
NA,PT,HCL,NA,,,Passenger trains,
NA,PT,LGN,NA,,,Passenger trains,
NA,PT,CRO,NA,,,Passenger trains,Total Oil products
NA,PT,LPG,NA,,,Passenger trains,Liquefied Petroleum Gas
NA,PT,GSL,NA,,,Passenger trains,Gasoline blend
NA,PT,KRS,NA,,,Passenger trains,Jet Fuel
NA,PT,GDO,NA,,,Passenger trains,Diesel
NA,PT,RFO,NA,,,Passenger trains,Residual fuel oil blend
NA,PT,OLQ,NA,,,Passenger trains,
NA,PT,NGS,NA,,,Passenger trains,Total Natural Gas
NA,PT,OGS,NA,,,Passenger trains,
NA,PT,NUC,NA,,,Passenger trains,
NA,PT,STE,NA,,,Passenger trains,
NA,PT,HYD,NA,,,Passenger trains,
NA,PT,WND,NA,,,Passenger trains,
NA,PT,SOL,NA,,,Passenger trains,
NA,PT,BMSWAS,NA,,,Passenger trains,Total Biomass
NA,PT,GEO,NA,,,Passenger trains,
NA,PT,MET,NA,,,Passenger trains,Methane from Biogas
NA,PT,ETH,NA,,,Passenger trains,Ethanol
NA,PT,BGDO,NA,,,Passenger trains,Bio Diesel
NA,PT,H2F,NA,,,Passenger trains,Total Hydrogen
NA,PT,ELC,NA,,,Passenger trains,Electricity
NA,PT,STE1AL,NA,,,Passenger trains,
NA,PT,STE1AH,NA,,,Passenger trains,
NA,PT,STE1AD,NA,,,Passenger trains,
NA,PT,STE1AR,NA,,,Passenger trains,
NA,PT,STE1AG,NA,,,Passenger trains,
NA,PT,STE1AB,NA,,,Passenger trains,
NA,PT,STE1AH2F,NA,,,Passenger trains,
NA,PT,STE2LGN,NA,,,Passenger trains,
NA,PT,STE2OSL,NA,,,Passenger trains,
NA,PT,STE2GDO,NA,,,Passenger trains,
NA,PT,STE2RFO,NA,,,Passenger trains,
NA,PT,STE2OLQ,NA,,,Passenger trains,
NA,PT,STE2NGS,NA,,,Passenger trains,
NA,PT,STE2OGS,NA,,,Passenger trains,
NA,PT,STE2BMS,NA,,,Passenger trains,
NA,PT,PHEVGSL,NA,,,Passenger trains,
NA,PT,PHEVGDO,NA,,,Passenger trains,
NA,PT,CHEVGSL,NA,,,Passenger trains,
NA,PT,CHEVGDO,NA,,,Passenger trains,
NA,PT,SLD,NA,,,Passenger trains,
NA,PT,GAS,NA,,,Passenger trains,
NA,PT,LQD,NA,,,Passenger trains,
NA,PT,OLQT,NA,,,Passenger trains,
NA,PT,NFF,NA,,,Passenger trains,
NA,PT,NEF,NA,,,Passenger trains,
NA,PT,HEATPUMP,NA,,,Passenger trains,
